domain,type,threat_category
hollow-creek.org,domain,persistence
silent-canyon.net,domain,persistence
snowfall-c2-srv.org,domain,delivery
erebus-beacon.org,domain,c2_infrastructure
license-validate.net,domain,lateral_movement
project-darkstar.org,domain,persistence
charon-relay-host.org,domain,c2_infrastructure
google-sync-relay.org,domain,lateral_movement
crimsonphoenix.org,domain,c2_infrastructure
iron-curtain-srv.net,domain,lateral_movement
adobe-license-srv.net,domain,lateral_movement
blackfalcon-ops.net,domain,c2_infrastructure
directive-shade.net,domain,persistence
mandate-eclipse.org,domain,persistence
apple-push-notify.org,domain,lateral_movement
pale-comet-srv.net,domain,persistence
void-sector-relay.org,domain,persistence
arctic-pivot-host.net,domain,delivery
arrow-head-relay.org,domain,lateral_movement
flint-pivot-drop.org,domain,exfiltration
typhoon-callback.net,domain,exfiltration
midnight-solstice.org,domain,exfiltration
hailstorm-drop.net,domain,exfiltration
vmware-update-svc.net,domain,delivery
hammer-fall-gate.net,domain,delivery
operation-nightfall.net,domain,persistence
crucible-relay-x.org,domain,delivery
tempest-loader-x.net,domain,exfiltration
ice-storm-loader.org,domain,delivery
obsidian-relay.org,domain,exfiltration
thanatos-drop-srv.net,domain,c2_infrastructure
null-vector-drop.net,domain,persistence
update-portal-77.net,domain,persistence
telemetry-pipe-x.net,domain,lateral_movement
oracle-cloud-auth.org,domain,lateral_movement
dead-orbit-c2.org,domain,persistence
blade-runner-host.org,domain,delivery
codename-specter.org,domain,persistence
cold-snap-beacon.org,domain,delivery
silverviper-drop.net,domain,c2_infrastructure
quartz-stager.net,domain,exfiltration
solar-flare-relay.org,domain,exfiltration
ghostpeak-drop.net,domain,exfiltration
phantom-ridge.org,domain,persistence
onyxraven-host.net,domain,c2_infrastructure
heartbeat-monitor.org,domain,lateral_movement
cdn-edge-node-4.net,domain,lateral_movement
patch-delivery-svc.org,domain,lateral_movement
nemesis-callback.org,domain,c2_infrastructure
basalt-c2-host.net,domain,exfiltration
api-gateway-secure.net,domain,delivery
lost-signal-host.org,domain,persistence
fenrir-beacon-drop.net,domain,c2_infrastructure
mission-blackhole.net,domain,persistence
shadowcobra-gate.net,domain,c2_infrastructure
pyrite-callback.org,domain,exfiltration
sequence-penumbra.org,domain,persistence
health-probe-host.org,domain,lateral_movement
dark-nebula-drop.net,domain,exfiltration
sync-gateway-api.org,domain,lateral_movement
eclipse-gate-host.net,domain,exfiltration
odin-loader-host.org,domain,c2_infrastructure
ares-stager-node.net,domain,c2_infrastructure
status-check-api.net,domain,lateral_movement
forge-master-drop.net,domain,delivery
steelhawk-pivot.org,domain,c2_infrastructure
steel-fist-beacon.org,domain,lateral_movement
frozen-summit.net,domain,persistence
glacier-exfil.net,domain,delivery
aurora-borealis-c2.net,domain,exfiltration
styx-exfil-gate.net,domain,c2_infrastructure
cisco-telemetry.org,domain,delivery
protocol-umbra.net,domain,persistence
polar-vortex-drop.org,domain,delivery
initiative-wraith.net,domain,persistence
tundra-sync-host.org,domain,delivery
zenith-beacon-srv.org,domain,exfiltration
amazon-s3-edge.net,domain,lateral_movement
deep-freeze-ops.net,domain,delivery
razor-edge-drop.net,domain,lateral_movement
metrics-ingest-01.org,domain,lateral_movement
monsoon-stager.org,domain,exfiltration
blizzard-op-node.org,domain,exfiltration
permafrost-drop.net,domain,delivery
ibm-analytics-srv.org,domain,delivery
hades-c2-relay.net,domain,c2_infrastructure
program-phantom.org,domain,persistence
dagger-throw-c2.net,domain,lateral_movement
redsparrow-relay.org,domain,c2_infrastructure
microsoft-cdn-eu.net,domain,lateral_movement
frost-bite-relay.net,domain,delivery
ironwolf-beacon.org,domain,c2_infrastructure
azureserpent.org,domain,c2_infrastructure
cyclone-pivot-7.net,domain,exfiltration
vortex-exfil-01.org,domain,exfiltration
granite-beacon.org,domain,exfiltration
sap-connector-hub.net,domain,delivery
loki-pivot-srv.org,domain,c2_infrastructure
goldmantis-c2.net,domain,c2_infrastructure
anvil-strike-host.org,domain,delivery
