ip,type,threat_category,confidence,severity,country,asn,first_seen,last_seen,tags,reporter
185.220.101.1,ipv4,c2_infrastructure,high,critical,DE,AS208323 XTOM GmbH,2024-03-15,2026-04-20,tor-exit-node|c2|beacon,threat-intel-feed
185.220.101.5,ipv4,c2_infrastructure,high,critical,DE,AS208323 XTOM GmbH,2024-03-15,2026-04-22,tor-exit-node|c2|beacon,threat-intel-feed
185.220.101.10,ipv4,scanning,high,medium,DE,AS208323 XTOM GmbH,2024-04-01,2026-03-10,tor-exit-node|scanning|reconnaissance,honeypot
185.220.101.20,ipv4,scanning,high,medium,DE,AS208323 XTOM GmbH,2024-04-10,2026-03-18,tor-exit-node|scanning,honeypot
185.220.101.47,ipv4,reconnaissance,high,medium,DE,AS208323 XTOM GmbH,2024-05-20,2026-02-28,tor-exit-node|reconnaissance,siem-alert
185.220.101.75,ipv4,c2_infrastructure,high,high,DE,AS208323 XTOM GmbH,2024-06-01,2026-05-01,tor-exit-node|c2|loader,threat-intel-feed
185.220.101.100,ipv4,c2_infrastructure,high,high,DE,AS208323 XTOM GmbH,2024-07-15,2026-04-30,tor-exit-node|c2,partner-feed
185.220.101.200,ipv4,c2_infrastructure,high,critical,DE,AS208323 XTOM GmbH,2024-08-01,2026-05-02,tor-exit-node|c2|beacon,threat-intel-feed
185.220.101.250,ipv4,scanning,medium,medium,DE,AS208323 XTOM GmbH,2024-08-10,2026-04-28,tor-exit-node|scanning,honeypot
45.33.32.100,ipv4,c2_infrastructure,high,high,US,AS63949 Linode LLC,2024-07-20,2026-04-05,c2|cobalt-strike,siem-alert
45.33.32.156,ipv4,c2_infrastructure,high,high,US,AS63949 Linode LLC,2024-08-01,2026-04-10,c2|cobalt-strike|beacon,siem-alert
45.33.32.200,ipv4,c2_infrastructure,high,high,US,AS63949 Linode LLC,2024-08-05,2026-04-12,c2|cobalt-strike,siem-alert
45.33.32.215,ipv4,delivery,medium,high,US,AS63949 Linode LLC,2024-09-01,2026-03-20,dropper|malware|delivery,threat-intel-feed
89.248.165.4,ipv4,c2_infrastructure,high,critical,NL,AS202425 IP Volume inc,2024-02-10,2026-05-05,c2|apt|beacon,partner-feed
89.248.165.72,ipv4,c2_infrastructure,high,critical,NL,AS202425 IP Volume inc,2024-02-15,2026-05-03,c2|apt,partner-feed
89.248.165.200,ipv4,c2_infrastructure,medium,high,NL,AS202425 IP Volume inc,2024-03-01,2026-04-20,c2|loader,honeypot
89.248.167.3,ipv4,c2_infrastructure,medium,high,NL,AS202425 IP Volume inc,2024-03-01,2026-04-28,c2|loader,honeypot
94.102.49.1,ipv4,scanning,high,medium,NL,AS51396 Pfcloud UG,2024-01-05,2026-05-10,scanning|port-scan|reconnaissance,honeypot
94.102.49.15,ipv4,scanning,high,low,NL,AS51396 Pfcloud UG,2024-01-10,2026-05-08,scanning|reconnaissance,honeypot
94.102.49.100,ipv4,scanning,medium,low,NL,AS51396 Pfcloud UG,2024-02-20,2026-04-15,scanning,honeypot
193.32.162.1,ipv4,lateral_movement,medium,high,PL,AS208091 Giga-Hosting,2024-10-01,2026-03-30,lateral-movement|pivot|vpn-proxy,manual-investigation
193.32.162.50,ipv4,lateral_movement,medium,high,PL,AS208091 Giga-Hosting,2024-10-05,2026-03-28,lateral-movement|pivot,manual-investigation
193.32.162.100,ipv4,lateral_movement,low,medium,PL,AS208091 Giga-Hosting,2024-10-15,2026-03-10,lateral-movement,manual-investigation
194.165.16.1,ipv4,c2_infrastructure,high,critical,UA,AS203727 Deltahost LLC,2024-01-15,2026-05-01,c2|botnet|beacon,threat-intel-feed
194.165.16.80,ipv4,c2_infrastructure,high,high,UA,AS203727 Deltahost LLC,2024-01-20,2026-04-25,c2|botnet,threat-intel-feed
